Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
SWBBLP,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share,"175,000",100.00,"17,500,000.00"
TBBLP,Triveni Bikas Bank Limited Promoter Share,"500,000",100.00,"50,000,000.00"
UFLPO,United Finance Company Limited Promoter Share,"900,000",100.00,"90,000,000.00"
MDBPO,Miteri Development Bank Limited Promoter Share,"10,000",100.00,"1,000,000.00"
EDBLPO,Excel Development Bank Ltd. Promoter Share,"100,000",100.00,"10,000,000.00"
NILPO,Neco Insurace Co. Ltd. Promoter,"1,352,216",100.00,"135,221,600.00"
GLICLP,Gurans Life Insurance Company Ltd. Promoter Share,"100,000",100.00,"10,000,000.00"
GBBLPO,Garima Bikas Bank Limited Promoter Share,"100,000",100.00,"10,000,000.00"
SICLPO,Shikhar Insurance Company Limited Promoter Share,0,0.00,0.00
PRVUPO,Prabhu Bank Limited Promoter Share,0,0.00,0.00
LLBSPO,Laxmi Laghubitta Bittiya Sanstha Limited Promoter Share,0,0.00,0.00
MNBBLP,Muktinath Bikas Bank Limited Promoter Share,0,0.00,0.00
NFSPO,Nepal Finance Ltd. Promoter Share,0,0.00,0.00
RLFLPO,Reliance Finance Limited Promoter Share,0,0.00,0.00
NLBBLP,Nerude Laghubita Bittiya Sanstha Limited Promoter Share,0,0.00,0.00
NUBLPO,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited Promoter Share,0,0.00,0.00
SKBBLP,Sana Kisan Bikas Laghubitta Bittiya sanstha Limited Promoter Share,0,0.00,0.00
SHINEP,Shine Resunga Development Bank Limited Promoter Share,0,0.00,0.00
SINDUP,Sindhu Bikash Bank Limited Promoter Share,0,0.00,0.00
SCBPO,Standard Chartered Bank Limited Promoter Share,0,0.00,0.00
SMFDBP,Summit Laghubitta Bittiya Sanstha Ltd. Promoter Share,0,0.00,0.00
CFCLPO,Central Finance Company Limited Promoter Share,0,0.00,0.00
RBCLPO,Rastriya Beema Company Limited Promoter Share,0,0.00,0.00
KMCDBP,Kalika Laghubitta Bittiya Sanstha Limited Promoter Share,0,0.00,0.00
PRINPO,Prabhu Insurance Company Ltd. Promoter,"1,000,000",100.00,"100,000,000.00"
DDBLPO,Deprosc LaghuBitta Bittiya Sanstha Limited Promoter Share,0,0.00,0.00
NLGPO,NLG Insurance Company Ltd. Promoter Share,0,0.00,0.00
NICLPO,Nepal Insurance Co. Ltd Promoter Share,0,0.00,0.00
LICNPO,Life Insurance Co. Nepal Promoter Share,0,0.00,0.00
CBBLPO,Chhimek Laghubitta Bittiya Sanstha Limited Promoter Share,0,0.00,0.00
